,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
25,1,3,female,0.4722292033174164,1,5,0.06126431989431795,S,Third,woman,False,,Southampton,yes,False,6
26,0,3,male,,0,0,0.014102260811993537,C,Third,man,True,,Cherbourg,no,True,0
27,0,1,male,0.2334757476752953,3,2,0.5133418122566507,S,First,man,True,C,Southampton,no,False,5
28,1,3,female,,0,0,0.01537917417160685,Q,Third,woman,False,,Queenstown,yes,True,0
29,0,3,male,,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
30,0,1,male,0.49736114601658704,0,0,0.05410739813385612,C,First,man,True,,Cherbourg,no,True,0
31,1,1,female,,1,0,0.2859895551532101,C,First,woman,False,B,Cherbourg,yes,False,1
32,1,3,female,,0,0,0.015126992566498259,Q,Third,woman,False,,Queenstown,yes,True,0
33,0,2,male,0.8240764011058055,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
34,0,1,male,0.34656948982156316,1,0,0.16038672010106003,C,First,man,True,,Cherbourg,no,False,1
35,0,1,male,0.5224930887157577,1,0,0.10149724044618187,S,First,man,True,,Southampton,no,False,1
36,1,3,male,,0,0,0.014110458666029575,C,Third,man,True,,Cherbourg,yes,True,0
37,0,3,male,0.2586076903744659,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
38,0,3,female,0.22090977632571,2,0,0.03513366015444757,S,Third,woman,False,,Southampton,no,False,2
39,1,3,female,0.17064589092736868,1,0,0.021942337075458514,C,Third,child,False,,Cherbourg,yes,False,1
40,0,3,female,0.49736114601658704,1,0,0.018493968331299484,S,Third,woman,False,,Southampton,no,False,1
41,0,2,female,0.33400351847197784,1,0,0.04098927018018883,S,Second,woman,False,,Southampton,no,False,1
42,0,3,male,,0,0,0.015411575213749286,C,Third,man,True,,Cherbourg,no,True,0
43,1,2,female,0.032420206081930136,1,2,0.08115719346076702,C,Second,child,False,,Cherbourg,yes,False,3
44,1,3,female,0.2334757476752953,0,0,0.01537917417160685,Q,Third,woman,False,,Queenstown,yes,True,0
45,0,3,male,,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
46,0,3,male,,1,0,0.030253985132996517,Q,Third,man,True,,Queenstown,no,False,1
47,1,3,female,,0,0,0.015126992566498259,Q,Third,woman,False,,Queenstown,yes,True,0
48,0,3,male,,2,0,0.04231498029001666,C,Third,man,True,,Cherbourg,no,False,2
49,0,3,female,0.22090977632571,1,0,0.034743286152731485,S,Third,woman,False,,Southampton,no,False,1
50,0,3,male,0.08268409148027142,4,1,0.07746484096553544,S,Third,child,False,,Southampton,no,False,5
51,0,3,male,0.2586076903744659,0,0,0.01522458606692728,S,Third,man,True,,Southampton,no,True,0
52,1,1,female,0.610454888162855,1,0,0.1497654242623688,C,First,woman,False,D,Cherbourg,yes,False,1
53,1,2,female,0.35913546117114853,1,0,0.050748620223090936,S,Second,woman,False,,Southampton,yes,False,1
54,0,1,male,0.8115104297562202,0,1,0.1209753416358076,C,First,man,True,B,Cherbourg,no,False,1
55,1,1,male,,0,0,0.06929138530460494,S,First,man,True,C,Southampton,yes,True,0
56,1,2,female,0.2586076903744659,0,0,0.020494635090094415,S,Second,woman,False,,Southampton,yes,True,0
57,0,3,male,0.35285247549635584,0,0,0.014110458666029575,C,Third,man,True,,Cherbourg,no,True,0
58,1,2,female,0.05755214878110078,1,2,0.05416439273810667,S,Second,child,False,,Southampton,yes,False,3
59,0,3,male,0.1329479768786127,5,2,0.09154270340242172,S,Third,child,False,,Southampton,no,False,7
60,0,3,male,0.2711736617240512,0,0,0.014110458666029575,C,Third,man,True,,Cherbourg,no,True,0
61,1,1,female,0.4722292033174164,0,0,0.15614960068643363,,First,woman,False,B,,yes,True,0
62,0,1,male,0.5601910027645137,1,0,0.16293234896625058,S,First,man,True,C,Southampton,no,False,1
63,0,3,male,0.04498617743151546,3,2,0.05445717323939373,S,Third,child,False,,Southampton,no,False,5
64,0,1,male,,0,0,0.05410739813385612,C,First,man,True,,Cherbourg,no,True,0
65,1,3,male,,1,1,0.029757819776815374,C,Third,man,True,,Cherbourg,yes,False,2
66,1,2,female,0.35913546117114853,0,0,0.020494635090094415,S,Second,woman,False,F,Southampton,yes,True,0
67,0,3,male,0.2334757476752953,0,0,0.015923941091001644,S,Third,man,True,,Southampton,no,True,0
68,1,3,female,0.20834380497612465,4,2,0.015468569817999833,S,Third,woman,False,,Southampton,yes,False,6
69,0,3,male,0.32143754712239253,2,0,0.016908073949327893,S,Third,man,True,,Southampton,no,False,2
70,0,2,male,0.39683337521990447,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
71,0,3,female,0.19577783362653933,5,2,0.09154270340242172,S,Third,woman,False,,Southampton,no,False,7
72,0,2,male,0.2586076903744659,0,0,0.1434624456306609,S,Second,man,True,,Southampton,no,True,0
73,0,3,male,0.32143754712239253,1,0,0.028212719478023115,C,Third,man,True,,Cherbourg,no,False,1
74,1,3,male,0.39683337521990447,0,0,0.11027245763075773,S,Third,man,True,,Southampton,yes,True,0
75,0,3,male,0.3088715757728072,0,0,0.014931805565640218,S,Third,man,True,F,Southampton,no,True,0
76,0,3,male,,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
77,0,3,male,,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
78,1,2,male,0.005152048253329982,0,2,0.056604230248832196,S,Second,child,False,,Southampton,yes,False,2
79,1,3,female,0.37170143252073384,0,0,0.024349578357040744,S,Third,woman,False,,Southampton,yes,True,0
80,0,3,male,0.2711736617240512,0,0,0.017566830077223785,S,Third,man,True,,Southampton,no,True,0
81,1,3,male,0.35913546117114853,0,0,0.018542765081513996,S,Third,man,True,,Southampton,yes,True,0
82,1,3,female,,0,0,0.015200187691820024,Q,Third,woman,False,,Queenstown,yes,True,0
83,0,1,male,0.34656948982156316,0,0,0.09193307740413781,S,First,man,True,,Southampton,no,True,0
84,1,2,female,0.20834380497612465,0,0,0.020494635090094415,S,Second,woman,False,,Southampton,yes,True,0
85,1,3,female,0.4093993465694898,3,0,0.030937139635999665,S,Third,woman,False,,Southampton,yes,False,3
86,0,3,male,0.19577783362653933,1,3,0.06709553154495196,S,Third,man,True,,Southampton,no,False,4
87,0,3,male,,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
88,1,1,female,0.2837396330736366,3,2,0.5133418122566507,S,First,woman,False,C,Southampton,yes,False,5
89,0,3,male,0.2963056044232219,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
90,0,3,male,0.35913546117114853,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
91,0,3,male,0.24604171902488062,0,0,0.015330377421392339,S,Third,man,True,,Southampton,no,True,0
92,0,1,male,0.5727569741140991,1,0,0.11940564777490723,S,First,man,True,E,Southampton,no,False,1
93,0,3,male,0.32143754712239253,1,2,0.04015972542654215,S,Third,man,True,,Southampton,no,False,3
94,0,3,male,0.7361146016587082,0,0,0.014151057562208049,S,Third,man,True,,Southampton,no,True,0
95,0,3,male,,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
96,0,1,male,0.8869062578537321,0,0,0.06764049365134761,C,First,man,True,A,Cherbourg,no,True,0
97,1,1,male,0.2837396330736366,0,1,0.12366716556464086,C,First,man,True,D,Cherbourg,yes,False,1
98,1,2,female,0.4219653179190751,0,1,0.044893010197349675,S,Second,woman,False,,Southampton,yes,False,1
99,0,2,male,0.4219653179190751,1,0,0.050748620223090936,S,Second,man,True,,Southampton,no,False,1
100,0,3,female,0.34656948982156316,0,0,0.015411575213749286,S,Third,woman,False,,Southampton,no,True,0
101,0,3,male,,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
102,0,1,male,0.2586076903744659,0,1,0.15085515328815924,S,First,man,True,D,Southampton,no,False,1
103,0,3,male,0.4093993465694898,0,0,0.016891873428256675,S,Third,man,True,,Southampton,no,True,0
104,0,3,male,0.4596632319678311,2,0,0.015468569817999833,S,Third,man,True,,Southampton,no,False,2
105,0,3,male,0.34656948982156316,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
106,1,3,female,0.2586076903744659,0,0,0.014931805565640218,S,Third,woman,False,,Southampton,yes,True,0
107,1,3,male,,0,0,0.015175789316712771,S,Third,man,True,,Southampton,yes,True,0
108,0,3,male,0.4722292033174164,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
109,1,3,female,,1,0,0.04713766070721715,Q,Third,woman,False,,Queenstown,yes,False,1
110,0,1,male,0.5853229454636844,0,0,0.10149724044618187,S,First,man,True,C,Southampton,no,True,0
111,0,3,female,0.17692887660216136,1,0,0.028212719478023115,C,Third,child,False,,Cherbourg,no,False,1
112,0,3,male,0.2711736617240512,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
113,0,3,female,0.24604171902488062,1,0,0.019177122834302632,S,Third,woman,False,,Southampton,no,False,1
114,0,3,female,0.20834380497612465,0,0,0.028220722145058292,C,Third,woman,False,,Cherbourg,no,True,0
115,0,3,male,0.2586076903744659,0,0,0.015468569817999833,S,Third,man,True,,Southampton,no,True,0
116,0,3,male,0.8806232721789394,0,0,0.015126992566498259,Q,Third,man,True,,Queenstown,no,True,0
117,0,2,male,0.35913546117114853,1,0,0.04098927018018883,S,Second,man,True,,Southampton,no,False,1
118,0,1,male,0.2963056044232219,0,1,0.4831284260198326,C,First,man,True,B,Cherbourg,no,False,1
119,0,3,female,0.01985423473234481,4,2,0.06104473451835265,S,Third,child,False,,Southampton,no,False,6
120,0,2,male,0.2586076903744659,2,0,0.1434624456306609,S,Second,man,True,,Southampton,no,False,2
121,0,3,male,,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
122,0,2,male,0.40311636089469716,1,0,0.058694292654020104,C,Second,man,True,,Cherbourg,no,False,1
123,1,2,female,0.40311636089469716,0,0,0.025374310111545468,S,Second,woman,False,E,Southampton,yes,True,0
124,0,1,male,0.6732847449107816,0,1,0.15085515328815924,S,First,man,True,D,Southampton,no,False,1
125,1,3,male,0.14551394822819805,1,0,0.021942337075458514,C,Third,child,False,,Cherbourg,yes,False,1
126,0,3,male,,0,0,0.015126992566498259,Q,Third,man,True,,Queenstown,no,True,0
127,1,3,male,0.2963056044232219,0,0,0.01393967004027879,S,Third,man,True,,Southampton,yes,True,0
128,1,3,female,,1,1,0.04364049521284362,C,Third,woman,False,F,Cherbourg,yes,False,2
129,0,3,male,0.5601910027645137,0,0,0.013614293309848433,S,Third,man,True,,Southampton,no,True,0
130,0,3,male,0.4093993465694898,0,0,0.015411575213749286,C,Third,man,True,,Cherbourg,no,True,0
131,0,3,male,0.24604171902488062,0,0,0.013760683560491965,S,Third,man,True,,Southampton,no,True,0
132,0,3,female,0.5853229454636844,1,0,0.028302115124416098,S,Third,woman,False,,Southampton,no,False,1
133,1,2,female,0.35913546117114853,1,0,0.050748620223090936,S,Second,woman,False,,Southampton,yes,False,1
134,0,2,male,0.3088715757728072,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
135,0,2,male,0.2837396330736366,0,0,0.02936744577509929,C,Second,man,True,,Cherbourg,no,True,0
136,1,1,female,0.2334757476752953,0,2,0.051301584996521765,S,First,woman,False,D,Southampton,yes,False,2
137,0,1,male,0.4596632319678311,1,0,0.10364429745562033,S,First,man,True,C,Southampton,no,False,1
138,0,3,male,0.19577783362653933,0,0,0.01798980030808316,S,Third,man,True,,Southampton,no,True,0
139,0,1,male,0.2963056044232219,0,0,0.15458810467956932,C,First,man,True,B,Cherbourg,no,True,0
140,0,3,female,,0,2,0.029757819776815374,C,Third,woman,False,,Cherbourg,no,False,2
141,1,3,female,0.2711736617240512,0,0,0.015126992566498259,S,Third,woman,False,,Southampton,yes,True,0
142,1,3,female,0.2963056044232219,1,0,0.030937139635999665,S,Third,woman,False,,Southampton,yes,False,1
143,0,3,male,0.2334757476752953,0,0,0.013175122557917838,Q,Third,man,True,,Queenstown,no,True,0
144,0,2,male,0.22090977632571,0,0,0.022446505098674838,S,Second,man,True,,Southampton,no,True,0
145,0,2,male,0.2334757476752953,1,1,0.07173122281533045,S,Second,man,True,,Southampton,no,False,2
146,1,3,male,0.33400351847197784,0,0,0.015216388212891242,S,Third,man,True,,Southampton,yes,True,0
147,0,3,female,0.10781603417944208,2,2,0.06709553154495196,S,Third,child,False,,Southampton,no,False,4
148,0,2,male,0.4533802462930384,0,2,0.050748620223090936,S,Second,man,True,F,Southampton,no,False,2
149,0,2,male,0.5224930887157577,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
150,0,2,male,0.6355868308620256,0,0,0.02444717185746977,S,Second,man,True,,Southampton,no,True,0
151,1,1,female,0.2711736617240512,1,0,0.12999454257145598,S,First,woman,False,C,Southampton,yes,False,1
152,0,3,male,0.6921337019351597,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
153,0,3,male,0.5036441316913798,0,2,0.028302115124416098,S,Third,man,True,,Southampton,no,False,2
154,0,3,male,,0,0,0.014273049437744325,S,Third,man,True,,Southampton,no,True,0
155,0,1,male,0.6355868308620256,0,1,0.11980421963065935,C,First,man,True,,Cherbourg,no,False,1
156,1,3,female,0.19577783362653933,0,0,0.015094396337354966,Q,Third,woman,False,,Queenstown,yes,True,0
157,0,3,male,0.37170143252073384,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
158,0,3,male,,0,0,0.016908073949327893,S,Third,man,True,,Southampton,no,True,0
159,0,3,male,,8,2,0.13575255909676825,S,Third,man,True,,Southampton,no,False,10
160,0,3,male,0.5476250314149284,0,1,0.031425107138144774,S,Third,man,True,,Southampton,no,False,1
161,1,2,female,0.49736114601658704,0,0,0.030741952635141623,S,Second,woman,False,,Southampton,yes,True,0
162,0,3,male,0.32143754712239253,0,0,0.015175789316712771,S,Third,man,True,,Southampton,no,True,0
163,0,3,male,0.20834380497612465,0,0,0.016908073949327893,S,Third,man,True,,Southampton,no,True,0
164,0,3,male,0.007288263382759488,4,1,0.07746484096553544,S,Third,child,False,,Southampton,no,False,5
165,1,3,male,0.10781603417944208,0,2,0.04006213192611313,S,Third,child,False,,Southampton,yes,False,2
166,1,1,female,,0,1,0.10735285047192313,S,First,woman,False,E,Southampton,yes,False,1
167,0,3,female,0.5601910027645137,1,4,0.05445717323939373,S,Third,woman,False,,Southampton,no,False,5
168,0,1,male,,0,0,0.050602229972447406,S,First,man,True,,Southampton,no,True,0
169,0,3,male,0.34656948982156316,0,0,0.11027245763075773,S,Third,man,True,,Southampton,no,True,0
170,0,1,male,0.7612465443578789,0,0,0.06538764528744409,S,First,man,True,B,Southampton,no,True,0
171,0,3,male,0.04498617743151546,4,1,0.05684821399990475,Q,Third,child,False,,Queenstown,no,False,5
172,1,3,female,0.007288263382759488,1,1,0.021730754366528396,S,Third,child,False,,Southampton,yes,False,2
173,0,3,male,0.2586076903744659,0,0,0.015468569817999833,S,Third,man,True,,Southampton,no,True,0
174,0,1,male,0.6984166876099522,0,0,0.05991421140938287,C,First,man,True,A,Cherbourg,no,True,0
175,0,3,male,0.22090977632571,1,1,0.015330377421392339,S,Third,man,True,,Southampton,no,False,2
176,0,3,male,,3,1,0.049707687947515,S,Third,man,True,,Southampton,no,False,4
177,0,1,female,0.6230208595124404,0,0,0.05604306762136532,C,First,woman,False,C,Cherbourg,no,True,0
178,0,2,male,0.37170143252073384,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
179,0,3,male,0.4470972606182458,0,0,0.0,S,Third,man,True,,Southampton,no,True,0
180,0,3,female,,8,2,0.13575255909676825,S,Third,woman,False,,Southampton,no,False,10
181,0,2,male,,0,0,0.02937564362913533,C,Second,man,True,,Cherbourg,no,True,0
182,0,3,male,0.10781603417944208,4,2,0.06126431989431795,S,Third,child,False,,Southampton,no,False,6
183,1,2,male,0.007288263382759488,2,1,0.07612293033463641,S,Second,child,False,F,Southampton,yes,False,3
184,1,3,female,0.04498617743151546,0,2,0.04298993693898376,S,Third,child,False,,Southampton,yes,False,2
185,0,1,male,,0,0,0.09759350042902103,S,First,man,True,A,Southampton,no,True,0
186,1,3,female,,1,0,0.030253985132996517,Q,Third,woman,False,,Queenstown,yes,False,1
187,1,1,male,0.5601910027645137,0,0,0.051822148727810165,S,First,man,True,,Southampton,yes,True,0
188,0,3,male,0.49736114601658704,1,1,0.030253985132996517,Q,Third,man,True,,Queenstown,no,False,2
189,0,3,male,0.4470972606182458,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
190,1,2,female,0.39683337521990447,0,0,0.025374310111545468,S,Second,woman,False,,Southampton,yes,True,0
191,0,2,male,0.2334757476752953,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
192,1,3,female,0.2334757476752953,1,0,0.015330377421392339,S,Third,woman,False,,Southampton,yes,False,1
193,1,2,male,0.032420206081930136,1,1,0.050748620223090936,S,Second,child,False,F,Southampton,yes,False,2
194,1,1,female,0.5476250314149284,0,0,0.05410739813385612,C,First,woman,False,B,Cherbourg,yes,True,0
195,1,1,female,0.723548630309123,0,0,0.2859895551532101,C,First,woman,False,B,Cherbourg,yes,True,0
196,0,3,male,,0,0,0.015126992566498259,Q,Third,man,True,,Queenstown,no,True,0
197,0,3,male,0.5224930887157577,0,1,0.01640390592611157,S,Third,man,True,,Southampton,no,False,1
198,1,3,female,,0,0,0.015126992566498259,Q,Third,woman,False,,Queenstown,yes,True,0
199,0,2,female,0.2963056044232219,0,0,0.025374310111545468,S,Second,woman,False,,Southampton,no,True,0
200,0,3,male,0.34656948982156316,0,0,0.018542765081513996,S,Third,man,True,,Southampton,no,True,0
201,0,3,male,,8,2,0.13575255909676825,S,Third,man,True,,Southampton,no,False,10
202,0,3,male,0.4219653179190751,0,0,0.012678957201736696,S,Third,man,True,,Southampton,no,True,0
203,0,3,male,0.5664739884393064,0,0,0.014102260811993537,C,Third,man,True,,Cherbourg,no,True,0
204,1,3,male,0.22090977632571,0,0,0.015712553569072387,S,Third,man,True,,Southampton,yes,True,0
205,0,3,female,0.01985423473234481,0,1,0.02042143996477265,S,Third,child,False,G,Southampton,no,False,1
206,0,3,male,0.39683337521990447,1,0,0.030937139635999665,S,Third,man,True,,Southampton,no,False,1
207,1,3,male,0.32143754712239253,0,0,0.036670757786204655,C,Third,man,True,,Cherbourg,yes,True,0
208,1,3,female,0.19577783362653933,0,0,0.015126992566498259,Q,Third,woman,False,,Queenstown,yes,True,0
209,1,1,male,0.49736114601658704,0,0,0.060507970265993034,C,First,man,True,A,Cherbourg,yes,True,0
210,0,3,male,0.2963056044232219,0,0,0.013760683560491965,S,Third,man,True,,Southampton,no,True,0
211,1,2,female,0.4345312892686604,0,0,0.04098927018018883,S,Second,woman,False,,Southampton,yes,True,0
212,0,3,male,0.2711736617240512,0,0,0.014151057562208049,S,Third,man,True,,Southampton,no,True,0
213,0,2,male,0.37170143252073384,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
214,0,3,male,,1,0,0.015126992566498259,Q,Third,man,True,,Queenstown,no,False,1
215,1,1,female,0.38426740387031916,1,0,0.22109807522194713,C,First,woman,False,D,Cherbourg,yes,False,1
216,1,3,female,0.33400351847197784,0,0,0.015468569817999833,S,Third,woman,False,,Southampton,yes,True,0
217,0,2,male,0.5224930887157577,1,0,0.05270049023167135,S,Second,man,True,,Southampton,no,False,1
218,1,1,female,0.39683337521990447,0,0,0.14891148113361488,C,First,woman,False,D,Cherbourg,yes,True,0
219,0,2,male,0.37170143252073384,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
220,1,3,male,0.19577783362653933,0,0,0.015712553569072387,S,Third,man,True,,Southampton,yes,True,0
221,0,2,male,0.33400351847197784,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
222,0,3,male,0.6355868308620256,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
223,0,3,male,,0,0,0.015411575213749286,S,Third,man,True,,Southampton,no,True,0
224,1,1,male,0.4722292033174164,1,0,0.17566830077223786,S,First,man,True,C,Southampton,yes,False,1
225,0,3,male,0.2711736617240512,0,0,0.018249984580226933,S,Third,man,True,,Southampton,no,True,0
226,1,2,male,0.2334757476752953,0,0,0.020494635090094415,S,Second,man,True,,Southampton,yes,True,0
227,0,3,male,0.2523247046996733,0,0,0.014151057562208049,S,Third,man,True,,Southampton,no,True,0
228,0,2,male,0.22090977632571,0,0,0.025374310111545468,S,Second,man,True,,Southampton,no,True,0
229,0,3,female,,3,1,0.049707687947515,S,Third,woman,False,,Southampton,no,False,4
230,1,1,female,0.4345312892686604,1,0,0.16293234896625058,S,First,woman,False,C,Southampton,yes,False,1
231,0,3,male,0.35913546117114853,0,0,0.015175789316712771,S,Third,man,True,,Southampton,no,True,0
232,0,2,male,0.7361146016587082,0,0,0.026350245115835676,S,Second,man,True,,Southampton,no,True,0
233,1,3,female,0.05755214878110078,4,2,0.06126431989431795,S,Third,child,False,,Southampton,yes,False,6
234,0,2,male,0.2963056044232219,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
235,0,3,female,,0,0,0.014736618564782174,S,Third,woman,False,,Southampton,no,True,0
236,0,2,male,0.5476250314149284,1,0,0.050748620223090936,S,Second,man,True,,Southampton,no,False,1
237,1,2,female,0.09525006282985675,0,2,0.05123658772523604,S,Second,child,False,,Southampton,yes,False,2
238,0,2,male,0.2334757476752953,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
239,0,2,male,0.4093993465694898,0,0,0.023959204355324663,S,Second,man,True,,Southampton,no,True,0
240,0,3,female,,1,0,0.028212719478023115,C,Third,woman,False,,Cherbourg,no,False,1
241,1,3,female,,1,0,0.030253985132996517,Q,Third,woman,False,,Queenstown,yes,False,1
242,0,2,male,0.35913546117114853,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
243,0,3,male,0.2711736617240512,0,0,0.013907073811135496,S,Third,man,True,,Southampton,no,True,0
244,0,3,male,0.37170143252073384,0,0,0.014102260811993537,C,Third,man,True,,Cherbourg,no,True,0
245,0,1,male,0.5476250314149284,2,0,0.17566830077223786,Q,First,man,True,C,Queenstown,no,False,2
246,0,3,female,0.3088715757728072,0,0,0.015175789316712771,S,Third,woman,False,,Southampton,no,True,0
247,1,2,female,0.2963056044232219,0,2,0.028302115124416098,S,Second,woman,False,,Southampton,yes,False,2
248,1,1,male,0.4596632319678311,1,1,0.10257896680493714,S,First,man,True,D,Southampton,yes,False,2
249,0,2,male,0.6732847449107816,1,0,0.050748620223090936,S,Second,man,True,,Southampton,no,False,1
250,0,3,male,,0,0,0.014151057562208049,S,Third,man,True,,Southampton,no,True,0
251,0,3,female,0.35913546117114853,1,1,0.02042143996477265,S,Third,woman,False,G,Southampton,no,False,2
252,0,1,male,0.7738125157074642,0,0,0.051822148727810165,S,First,man,True,C,Southampton,no,True,0
253,0,3,male,0.37170143252073384,1,0,0.031425107138144774,S,Third,man,True,,Southampton,no,False,1
254,0,3,female,0.5099271173661725,0,2,0.039452172548431745,S,Third,woman,False,,Southampton,no,False,2
255,1,3,female,0.35913546117114853,0,2,0.029757819776815374,C,Third,woman,False,,Cherbourg,yes,False,2
256,1,1,female,,0,0,0.15458810467956932,C,First,woman,False,,Cherbourg,yes,True,0
257,1,1,female,0.37170143252073384,0,0,0.16883675574220638,S,First,woman,False,B,Southampton,yes,True,0
258,1,1,female,0.4345312892686604,0,0,1.0,C,First,woman,False,,Cherbourg,yes,True,0
259,1,2,female,0.6230208595124404,0,1,0.050748620223090936,S,Second,woman,False,,Southampton,yes,False,1
260,0,3,male,,0,0,0.015126992566498259,Q,Third,man,True,,Queenstown,no,True,0
261,1,3,male,0.032420206081930136,4,2,0.06126431989431795,S,Third,child,False,,Southampton,yes,False,6
262,0,1,male,0.648152802211611,1,1,0.1554664461834305,S,First,man,True,E,Southampton,no,False,2
263,0,1,male,0.49736114601658704,0,0,0.0,S,First,man,True,B,Southampton,no,True,0
264,0,3,female,,0,0,0.015126992566498259,Q,Third,woman,False,,Queenstown,no,True,0
265,0,2,male,0.4470972606182458,0,0,0.020494635090094415,S,Second,man,True,,Southampton,no,True,0
266,0,3,male,0.19577783362653933,4,1,0.07746484096553544,S,Third,man,True,,Southampton,no,False,5
267,1,3,male,0.3088715757728072,1,0,0.015175789316712771,S,Third,man,True,,Southampton,yes,False,1
268,1,1,female,0.723548630309123,0,1,0.2995388511917728,S,First,woman,False,C,Southampton,yes,False,1
269,1,1,female,0.4345312892686604,0,0,0.2647385704347907,S,First,woman,False,C,Southampton,yes,True,0
270,0,1,male,,0,0,0.060507970265993034,S,First,man,True,,Southampton,no,True,0
271,1,3,male,0.3088715757728072,0,0,0.0,S,Third,man,True,,Southampton,yes,True,0
272,1,2,female,0.5099271173661725,0,1,0.038061465167318204,S,Second,woman,False,,Southampton,yes,False,1
273,0,1,male,0.4596632319678311,0,1,0.057970539254838485,C,First,man,True,C,Cherbourg,no,False,1
274,1,3,female,,0,0,0.015126992566498259,Q,Third,woman,False,,Queenstown,yes,True,0
